"Statistic Label","Month","NACE Group","UNIT","VALUE"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","101.3"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","99.4"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","105.3"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","81.5"
"Retail Sales Index Value Unadjusted","2015 August","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","73"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","120.4"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","97.7"
"Retail Sales Index Value Unadjusted","2015 September","Motor trades (45)","Base 2015=100","85.4"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","95.9"
"Retail Sales Index Value Unadjusted","2015 September","Department stores (4719)","Base 2015=100","88.1"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of automotive fuel (4730)","Base 2015=100","101.7"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of hardware, paints and glass (4752)","Base 2015=100","95.7"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of furniture and lighting (4759)","Base 2015=100","107.1"
"Retail Sales Index Value Unadjusted","2015 September","Bars (5630)","Base 2015=100","106.6"
"Retail Sales Index Value Unadjusted","2015 September","All retail businesses","Base 2015=100","93.9"
"Retail Sales Index Value Unadjusted","2015 September","Motor trades and automotive fuel (45,4730)","Base 2015=100","87.7"
"Retail Sales Index Value Unadjusted","2015 September","All retail businesses, excluding motor trades and bars","Base 2015=100","96.5"
"Retail Sales Index Value Unadjusted","2015 September","All retail businesses, excluding motor trades","Base 2015=100","97.1"
"Retail Sales Index Value Unadjusted","2015 September","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","96.1"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of food (4711,4721 to 4729)","Base 2015=100","95.7"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","96.5"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","94.3"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","102.7"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","101.6"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","93.6"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","94.7"
"Retail Sales Index Value Unadjusted","2015 September","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","90"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","116.3"
"Retail Sales Index Value Unadjusted","2015 September","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","94.1"
"Retail Sales Index Value Unadjusted","2015 October","Motor trades (45)","Base 2015=100","63.7"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","102.1"
"Retail Sales Index Value Unadjusted","2015 October","Department stores (4719)","Base 2015=100","92.8"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of automotive fuel (4730)","Base 2015=100","97.5"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of hardware, paints and glass (4752)","Base 2015=100","95.1"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of furniture and lighting (4759)","Base 2015=100","90.5"
"Retail Sales Index Value Unadjusted","2015 October","Bars (5630)","Base 2015=100","106.3"
"Retail Sales Index Value Unadjusted","2015 October","All retail businesses","Base 2015=100","89"
"Retail Sales Index Value Unadjusted","2015 October","Motor trades and automotive fuel (45,4730)","Base 2015=100","68.6"
"Retail Sales Index Value Unadjusted","2015 October","All retail businesses, excluding motor trades and bars","Base 2015=100","98"
"Retail Sales Index Value Unadjusted","2015 October","All retail businesses, excluding motor trades","Base 2015=100","98.5"
"Retail Sales Index Value Unadjusted","2015 October","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","98.1"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of food (4711,4721 to 4729)","Base 2015=100","102"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","94.5"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","101.5"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","92.6"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","93.8"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","99"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","94.8"
"Retail Sales Index Value Unadjusted","2015 October","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","95.8"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","90.2"
"Retail Sales Index Value Unadjusted","2015 October","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","91.7"
"Retail Sales Index Value Unadjusted","2015 November","Motor trades (45)","Base 2015=100","49.7"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","106.7"
"Retail Sales Index Value Unadjusted","2015 November","Department stores (4719)","Base 2015=100","123.1"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale of automotive fuel (4730)","Base 2015=100","100.6"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale of hardware, paints and glass (4752)","Base 2015=100","98.7"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale of furniture and lighting (4759)","Base 2015=100","113.4"
"Retail Sales Index Value Unadjusted","2015 November","Bars (5630)","Base 2015=100","100.9"
"Retail Sales Index Value Unadjusted","2015 November","All retail businesses","Base 2015=100","93.7"
"Retail Sales Index Value Unadjusted","2015 November","Motor trades and automotive fuel (45,4730)","Base 2015=100","57.1"
"Retail Sales Index Value Unadjusted","2015 November","All retail businesses, excluding motor trades and bars","Base 2015=100","110.9"
"Retail Sales Index Value Unadjusted","2015 November","All retail businesses, excluding motor trades","Base 2015=100","110.3"
"Retail Sales Index Value Unadjusted","2015 November","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","111.6"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale of food (4711,4721 to 4729)","Base 2015=100","106.2"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","116.6"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","101.2"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","113.8"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","126.3"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","109.3"
"Retail Sales Index Value Unadjusted","2015 November","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","137.6"
"Retail Sales Index Value Unadjusted","2015 November","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","145.7"
